,time,carID,speed,loc,roadID,is_Service_Provider,task,cc,cp
0,0,1,100.0,0.0,2,False,A,4,20
1,1,1,100.0,27.77777777777778,2,False,A,4,20
2,2,1,100.0,55.55555555555556,2,False,A,4,20
3,3,1,100.0,83.33333333333334,2,False,A,4,20
4,3,2,180.0,1000.0,8,True,B,4,30
5,4,1,100.0,111.11111111111111,2,False,A,4,20
6,4,2,180.0,950.0,8,True,B,4,30
7,5,1,100.0,138.88888888888889,2,False,A,4,20
8,5,3,180.0,1000.0,8,False,C,2,30
9,5,2,180.0,900.0,8,True,B,4,30
10,6,3,180.0,950.0,8,False,C,2,30
11,6,2,180.0,850.0,8,True,B,4,30
12,6,1,100.0,166.66666666666666,2,False,A,4,20
13,7,1,100.0,194.44444444444443,2,False,A,4,20
14,7,3,180.0,900.0,8,False,C,2,30
15,7,2,180.0,800.0,8,True,B,4,30
16,8,3,180.0,850.0,8,False,C,2,30
17,8,4,60.0,0.0,1,False,C,1,20
18,8,2,180.0,750.0,8,True,B,4,30
19,8,1,100.0,222.2222222222222,2,False,A,4,20
20,9,2,180.0,700.0,8,True,B,4,30
21,9,4,60.0,16.666666666666668,1,False,C,1,20
22,9,1,100.0,249.99999999999997,2,False,A,4,20
23,9,3,180.0,800.0,8,False,C,2,30
24,10,1,100.0,277.77777777777777,2,False,A,4,20
25,10,2,180.0,650.0,8,True,B,4,30
26,10,4,60.0,33.333333333333336,1,False,C,1,20
27,10,3,180.0,750.0,8,False,C,2,30
28,11,3,180.0,700.0,8,False,C,2,30
29,11,2,180.0,600.0,8,True,B,4,30
30,11,1,100.0,305.55555555555554,2,False,A,4,20
31,11,4,60.0,50.0,1,False,C,1,20
32,12,2,180.0,550.0,8,True,B,4,30
33,12,3,180.0,650.0,8,False,C,2,30
34,12,4,60.0,66.66666666666667,1,False,C,1,20
35,12,1,100.0,333.3333333333333,2,False,A,4,20
36,13,4,60.0,83.33333333333334,1,False,C,1,20
37,13,1,100.0,361.1111111111111,2,False,A,4,20
38,13,2,180.0,500.0,8,True,B,4,30
39,13,3,180.0,600.0,8,False,C,2,30
40,14,2,180.0,450.0,8,True,B,4,30
41,14,3,180.0,550.0,8,False,C,2,30
42,14,4,60.0,100.00000000000001,1,False,C,1,20
43,14,1,100.0,388.88888888888886,2,False,A,4,20
44,15,3,180.0,500.0,8,False,C,2,30
45,15,4,60.0,116.66666666666669,1,False,C,1,20
46,15,2,180.0,400.0,8,True,B,4,30
47,15,1,100.0,416.66666666666663,2,False,A,4,20
48,16,3,180.0,450.0,8,False,C,2,30
49,16,4,60.0,133.33333333333334,1,False,C,1,20
50,16,1,100.0,444.4444444444444,2,False,A,4,20
51,16,2,180.0,350.0,8,True,B,4,30
52,16,5,180.0,0.0,4,False,B,3,10
53,17,3,180.0,400.0,8,False,C,2,30
54,17,5,180.0,50.0,4,False,B,3,10
55,17,1,100.0,472.2222222222222,2,False,A,4,20
56,17,2,180.0,300.0,8,True,B,4,30
57,17,4,60.0,150.0,1,False,C,1,20
58,18,2,180.0,250.0,8,True,B,4,30
59,18,4,60.0,166.66666666666666,1,False,C,1,20
60,18,1,100.0,499.99999999999994,2,False,A,4,20
61,18,3,180.0,350.0,8,False,C,2,30
62,18,5,180.0,100.0,4,False,B,3,10
63,19,1,100.0,527.7777777777777,2,False,A,4,20
64,19,3,180.0,300.0,8,False,C,2,30
65,19,5,180.0,150.0,4,False,B,3,10
66,19,2,180.0,200.0,8,True,B,4,30
67,19,4,60.0,183.33333333333331,1,False,C,1,20
68,20,1,100.0,555.5555555555555,2,False,A,4,20
69,20,4,60.0,199.99999999999997,1,False,C,1,20
70,20,6,60.0,1000.0,5,True,C,3,30
71,20,3,180.0,250.0,8,False,C,2,30
72,20,2,180.0,150.0,8,True,B,4,30
73,20,5,180.0,200.0,4,False,B,3,10
74,21,4,60.0,216.66666666666663,1,False,C,1,20
75,21,6,60.0,983.3333333333334,5,True,C,3,30
76,21,3,180.0,200.0,8,False,C,2,30
77,21,2,180.0,100.0,8,True,B,4,30
78,21,5,180.0,250.0,4,False,B,3,10
79,21,1,100.0,583.3333333333334,2,False,A,4,20
80,22,6,60.0,966.6666666666667,5,True,C,3,30
81,22,5,180.0,300.0,4,False,B,3,10
82,22,4,60.0,233.3333333333333,1,False,C,1,20
83,22,3,180.0,150.0,8,False,C,2,30
84,22,1,100.0,611.1111111111112,2,False,A,4,20
85,22,2,180.0,50.0,8,True,B,4,30
86,23,5,180.0,350.0,4,False,B,3,10
87,23,2,180.0,0.0,8,True,B,4,30
88,23,3,180.0,100.0,8,False,C,2,30
89,23,1,100.0,638.888888888889,2,False,A,4,20
90,23,6,60.0,950.0000000000001,5,True,C,3,30
91,23,4,60.0,249.99999999999994,1,False,C,1,20
92,24,6,60.0,933.3333333333335,5,True,C,3,30
93,24,5,180.0,400.0,4,False,B,3,10
94,24,3,180.0,50.0,8,False,C,2,30
95,24,1,100.0,666.6666666666669,2,False,A,4,20
96,24,4,60.0,266.66666666666663,1,False,C,1,20
97,25,4,60.0,283.3333333333333,1,False,C,1,20
98,25,3,180.0,0.0,8,False,C,2,30
99,25,1,100.0,694.4444444444447,2,False,A,4,20
100,25,5,180.0,450.0,4,False,B,3,10
101,25,6,60.0,916.6666666666669,5,True,C,3,30
102,26,7,60.0,1000.0,5,False,B,4,30
103,26,6,60.0,900.0000000000002,5,True,C,3,30
104,26,4,60.0,300.0,1,False,C,1,20
105,26,5,180.0,500.0,4,False,B,3,10
106,26,1,100.0,722.2222222222225,2,False,A,4,20
107,27,5,180.0,550.0,4,False,B,3,10
108,27,6,60.0,883.3333333333336,5,True,C,3,30
109,27,1,100.0,750.0000000000003,2,False,A,4,20
110,27,4,60.0,316.6666666666667,1,False,C,1,20
111,27,7,60.0,983.3333333333334,5,False,B,4,30
112,28,4,60.0,333.33333333333337,1,False,C,1,20
113,28,1,100.0,777.7777777777782,2,False,A,4,20
114,28,6,60.0,866.666666666667,5,True,C,3,30
115,28,7,60.0,966.6666666666667,5,False,B,4,30
116,28,5,180.0,600.0,4,False,B,3,10
117,29,7,60.0,950.0000000000001,5,False,B,4,30
118,29,6,60.0,850.0000000000003,5,True,C,3,30
119,29,4,60.0,350.00000000000006,1,False,C,1,20
120,29,1,100.0,805.555555555556,2,False,A,4,20
121,29,5,180.0,650.0,4,False,B,3,10
122,30,5,180.0,700.0,4,False,B,3,10
123,30,6,60.0,833.3333333333337,5,True,C,3,30
124,30,1,100.0,833.3333333333338,2,False,A,4,20
125,30,7,60.0,933.3333333333335,5,False,B,4,30
126,30,4,60.0,366.66666666666674,1,False,C,1,20
127,31,6,60.0,816.6666666666671,5,True,C,3,30
128,31,1,100.0,861.1111111111117,2,False,A,4,20
129,31,4,60.0,383.3333333333334,1,False,C,1,20
130,31,7,60.0,916.6666666666669,5,False,B,4,30
131,31,5,180.0,750.0,4,False,B,3,10
132,32,5,180.0,800.0,4,False,B,3,10
133,32,7,60.0,900.0000000000002,5,False,B,4,30
134,32,6,60.0,800.0000000000005,5,True,C,3,30
135,32,1,100.0,888.8888888888895,2,False,A,4,20
136,32,4,60.0,400.0000000000001,1,False,C,1,20
137,33,4,60.0,416.6666666666668,1,False,C,1,20
138,33,5,180.0,850.0,4,False,B,3,10
139,33,6,60.0,783.3333333333338,5,True,C,3,30
140,33,7,60.0,883.3333333333336,5,False,B,4,30
141,33,1,100.0,916.6666666666673,2,False,A,4,20
142,34,5,180.0,900.0,4,False,B,3,10
143,34,1,100.0,944.4444444444451,2,False,A,4,20
144,34,4,60.0,433.3333333333335,1,False,C,1,20
145,34,7,60.0,866.666666666667,5,False,B,4,30
146,34,6,60.0,766.6666666666672,5,True,C,3,30
147,35,6,60.0,750.0000000000006,5,True,C,3,30
148,35,4,60.0,450.00000000000017,1,False,C,1,20
149,35,1,100.0,972.222222222223,2,False,A,4,20
150,35,7,60.0,850.0000000000003,5,False,B,4,30
151,35,5,180.0,950.0,4,False,B,3,10
152,36,5,180.0,1000.0,4,False,B,3,10
153,36,8,100.0,0.0,2,False,A,4,20
154,36,4,60.0,466.66666666666686,1,False,C,1,20
155,36,7,60.0,833.3333333333337,5,False,B,4,30
156,36,6,60.0,733.3333333333339,5,True,C,3,30
157,37,7,60.0,816.6666666666671,5,False,B,4,30
158,37,4,60.0,483.33333333333354,1,False,C,1,20
159,37,6,60.0,716.6666666666673,5,True,C,3,30
160,37,8,100.0,27.77777777777778,2,False,A,4,20
161,38,7,60.0,800.0000000000005,5,False,B,4,30
162,38,8,100.0,55.55555555555556,2,False,A,4,20
163,38,9,60.0,0.0,1,False,C,4,30
164,38,4,60.0,500.0000000000002,1,False,C,1,20
165,38,6,60.0,700.0000000000007,5,True,C,3,30
166,39,6,60.0,683.333333333334,5,True,C,3,30
167,39,9,60.0,16.666666666666668,1,False,C,4,30
168,39,10,180.0,0.0,4,True,A,2,20
169,39,7,60.0,783.3333333333338,5,False,B,4,30
170,39,8,100.0,83.33333333333334,2,False,A,4,20
171,39,4,60.0,516.6666666666669,1,False,C,1,20
172,40,8,100.0,111.11111111111111,2,False,A,4,20
173,40,10,180.0,50.0,4,True,A,2,20
174,40,9,60.0,33.333333333333336,1,False,C,4,30
175,40,7,60.0,766.6666666666672,5,False,B,4,30
176,40,6,60.0,666.6666666666674,5,True,C,3,30
177,40,4,60.0,533.3333333333335,1,False,C,1,20
178,41,9,60.0,50.0,1,False,C,4,30
179,41,10,180.0,100.0,4,True,A,2,20
180,41,4,60.0,550.0000000000001,1,False,C,1,20
181,41,6,60.0,650.0000000000008,5,True,C,3,30
182,41,7,60.0,750.0000000000006,5,False,B,4,30
183,41,8,100.0,138.88888888888889,2,False,A,4,20
184,42,4,60.0,566.6666666666667,1,False,C,1,20
185,42,8,100.0,166.66666666666666,2,False,A,4,20
186,42,6,60.0,633.3333333333342,5,True,C,3,30
187,42,9,60.0,66.66666666666667,1,False,C,4,30
188,42,10,180.0,150.0,4,True,A,2,20
189,42,7,60.0,733.3333333333339,5,False,B,4,30
190,43,7,60.0,716.6666666666673,5,False,B,4,30
191,43,9,60.0,83.33333333333334,1,False,C,4,30
192,43,4,60.0,583.3333333333334,1,False,C,1,20
193,43,8,100.0,194.44444444444443,2,False,A,4,20
194,43,10,180.0,200.0,4,True,A,2,20
195,43,6,60.0,616.6666666666675,5,True,C,3,30
196,44,8,100.0,222.2222222222222,2,False,A,4,20
197,44,9,60.0,100.00000000000001,1,False,C,4,30
198,44,4,60.0,600.0,1,False,C,1,20
199,44,10,180.0,250.0,4,True,A,2,20
200,44,6,60.0,600.0000000000009,5,True,C,3,30
201,44,7,60.0,700.0000000000007,5,False,B,4,30
202,44,11,60.0,0.0,1,False,C,2,30
203,45,8,100.0,249.99999999999997,2,False,A,4,20
204,45,7,60.0,683.333333333334,5,False,B,4,30
205,45,4,60.0,616.6666666666666,1,False,C,1,20
206,45,10,180.0,300.0,4,True,A,2,20
207,45,6,60.0,583.3333333333343,5,True,C,3,30
208,45,9,60.0,116.66666666666669,1,False,C,4,30
209,45,11,60.0,16.666666666666668,1,False,C,2,30
210,46,9,60.0,133.33333333333334,1,False,C,4,30
211,46,7,60.0,666.6666666666674,5,False,B,4,30
212,46,10,180.0,350.0,4,True,A,2,20
213,46,6,60.0,566.6666666666677,5,True,C,3,30
214,46,4,60.0,633.3333333333333,1,False,C,1,20
215,46,11,60.0,33.333333333333336,1,False,C,2,30
216,46,12,60.0,0.0,1,False,B,2,30
217,46,8,100.0,277.77777777777777,2,False,A,4,20
218,47,9,60.0,150.0,1,False,C,4,30
219,47,4,60.0,649.9999999999999,1,False,C,1,20
220,47,10,180.0,400.0,4,True,A,2,20
221,47,12,60.0,16.666666666666668,1,False,B,2,30
222,47,7,60.0,650.0000000000008,5,False,B,4,30
223,47,6,60.0,550.000000000001,5,True,C,3,30
224,47,8,100.0,305.55555555555554,2,False,A,4,20
225,47,11,60.0,50.0,1,False,C,2,30
226,48,6,60.0,533.3333333333344,5,True,C,3,30
227,48,11,60.0,66.66666666666667,1,False,C,2,30
